MODULE_TEMP, WIND_Speed , IRR (W/m2) , DC Current in Amps, AC Ir in Amps, AC Iy in Amps, AC Ib in Amps, AC Power in Watts
18.7675,47.60506,6.388252,0.6,8.6,8.6,8.7,3233
18.615,64.26684,12.7765,0.66,9.6,9.7,10.0,4504
18.92,85.68912,17.03534,4.74,11.9,12.0,12.4,6614
18.92,83.30886,25.55301,8.18,14.8,14.7,14.7,8971
19.0725,57.12608,36.20009,26.66,18.6,18.4,18.5,12071
18.7675,57.12608,46.84718,43.06,23.3,23.2,23.3,15894
19.53,61.88658,61.7531,55.64,29.7,29.4,29.5,20615
19.835,47.60506,72.40018,61.2,32.8,32.6,32.8,22972
19.9875,54.74582,78.78844,66.74,35.8,35.8,35.9,25247
19.835,54.74582,91.56494,78.52,41.8,41.6,41.6,29474
20.445,61.88658,114.9885,99.6799984,52.6,52.600001,52.7,37576
20.9025,335.6157,112.8591,98.3199984,52.200001,52.100001,52.300001,37309
20.9025,457.0086,140.5415,121.16,64.2,64.2,64.4,46113
35.695,592.683,146.9298,126.42,63.5,63.5,63.5,46117
34.77999,592.683,132.0239,118.1,60.0,60.1,60.0,43706
32.79749,592.683,91.56494,76.26,39.8,39.9,40.0,28743
32.34,592.683,123.5062,107.8399996,55.9,55.8,55.8,40583
32.1875,592.683,100.0826,85.6599998,44.800001,44.800001,44.6,32377
31.425,545.078,89.43552,76.42,40.200001,39.9,40.1,28667
30.815,585.5423,93.69436,82.28,43.000001,43.000001,43.000001,30800
30.51,583.162,63.88252,57.12,30.7,30.5,30.5,21709
29.7475,466.5296,53.23543,47.44,26.0,25.8,25.8,18022
29.1375,461.7691,44.71776,40.04,21.8,21.7,21.9,15200
28.68,390.3615,48.9766,45.72,24.7,24.5,24.9,17156
28.5275,404.643,44.71776,40.56,22.2,22.1,22.3,15503
28.2225,368.9392,44.71776,40.64,22.2,22.0,22.0,15443
27.9175,518.8952,44.71776,38.38,21.6,21.5,21.5,14923
28.07,471.2901,55.36485,49.12,26.1,25.9,25.9,18458
28.2225,440.3468,53.23543,46.58,25.1,25.0,25.0,17672
28.07,466.5296,38.32951,32.84,19.9,19.8,19.7,13551
27.46,447.4876,25.55301,7.1,14.8,14.7,15.1,9557
19.835,228.5043,8.51767,0.64,9.1,8.9,9.1,3801
19.835,228.5043,14.90592,2.62,10.8,10.7,10.8,5583
19.9875,266.5883,21.29417,6.18,13.4,13.3,13.5,7809
20.14,249.9266,29.81184,16.14,16.4,16.2,16.3,10308
20.14,240.4056,36.20009,25.46,18.6,18.5,18.5,11978
20.2925,238.0253,42.58834,38.74,21.5,21.4,21.4,14438
20.445,240.4056,55.36485,49.06,26.5,26.4,26.5,18187
20.75,242.7858,70.27077,59.14,31.9,31.7,31.9,22117
21.055,247.5463,83.04727,68.98,37.4,37.2,37.3,26084
21.2075,273.7291,95.82378,79.6,42.8,42.700002,42.800001,30127
21.36,264.2081,108.6003,91.1599998,49.0,49.0,49.0,34598
21.665,376.08,125.6356,105.2999986,56.6,56.8,56.8,40218
22.1225,585.5423,146.9298,123.22,66.1,66.3,66.2,46732
25.63,585.5423,134.1533,111.6399996,60.4,60.4,60.3,42603
25.1725,585.5423,117.118,98.0999982,53.3,53.3,53.2,37699
24.71499,585.5423,93.69436,78.6999998,42.900001,42.700003,42.700003,30068
24.5625,585.5423,138.4121,114.2,61.6,61.4,61.4,43585
39.355,595.0633,146.9298,124.98,62.1,62.2,62.3,45944
37.37249,592.683,123.5062,104.4399992,53.0,53.0,53.1,38856
35.2375,592.683,110.7297,92.079999,47.300001,47.2,47.2,34411
34.32249,592.683,110.7297,95.2999984,48.200001,48.300001,48.5,35408
33.1025,592.683,102.212,86.76,44.6,44.5,44.4,32452
31.73,592.683,70.27077,61.14,31.9,31.8,32.1,22956
31.12,592.683,44.71776,40.96,22.5,22.3,22.5,15609
29.9,273.7291,36.20009,25.64,18.7,18.4,18.7,12690
28.83249,28.56304,27.68242,7.72,14.9,15.0,15.3,9700
28.2225,2.380253,27.68242,8.58,14.8,15.0,15.3,9655
24.8675,254.6871,21.29417,3.0,13.5,13.2,13.4,8301
24.105,354.6577,19.16476,0.64,12.3,12.1,12.5,7190
23.3425,352.2775,14.90592,0.6,11.5,11.2,11.4,6270
21.36,173.7585,14.90592,0.6,10.8,10.7,11.0,6150
20.75,21.42228,14.90592,0.64,11.3,10.9,11.1,6211
20.445,9.521012,14.90592,0.6,11.0,10.7,10.8,5922
21.5125,378.4602,14.90592,0.64,10.5,10.4,10.7,5820
21.665,409.4036,12.7765,0.6,10.2,9.9,10.2,5288
21.36,587.9225,12.7765,0.6,9.7,9.7,10.0,5196
21.2075,587.9225,14.90592,1.26,10.9,10.7,11.0,6161
21.665,587.9225,19.16476,2.54,12.1,11.7,12.2,7089
22.1225,587.9225,21.29417,4.06,13.1,13.0,13.1,8142
22.4275,587.9225,27.68242,10.36,15.4,15.3,15.3,9904
22.58,587.9225,34.07068,23.46,17.7,17.6,17.8,11824
22.885,347.517,51.10602,46.24,24.2,24.2,24.5,17233
22.885,349.8972,74.52961,66.26,34.0,33.9,33.9,24656
23.3425,347.517,95.82378,83.66,43.000003,42.900003,42.900002,31434
23.6475,280.8699,85.17669,74.12,38.2,38.1,38.1,27912
23.495,414.164,59.62368,52.18,27.7,27.5,27.7,19674
23.495,585.5423,59.62368,53.0,27.9,27.6,27.8,19839
23.495,587.9225,70.27077,61.66,32.2,32.0,32.0,23171
23.6475,585.5423,57.49427,49.28,26.5,26.3,26.3,18761
23.8,585.5423,72.40018,63.64,32.9,32.6,32.7,23933
23.9525,587.9225,55.36485,49.86,26.3,26.3,26.5,18801
24.105,585.5423,34.07068,22.54,17.7,17.6,17.9,12255
23.6475,585.5423,27.68242,8.26,14.8,14.6,14.7,9587
23.3425,573.641,19.16476,3.94,12.6,12.2,12.6,7560
23.19,504.6137,14.90592,0.66,11.2,10.9,11.1,6010
22.885,523.6557,12.7765,0.64,10.6,10.3,10.6,5555
22.4275,554.599,12.7765,0.64,10.3,10.1,10.4,5263
22.275,585.5423,10.64709,0.6,10.0,9.9,10.1,5083
22.275,587.9225,12.7765,0.64,10.2,10.1,10.5,5375
22.275,587.9225,12.7765,0.64,10.8,10.3,10.6,5624
22.275,585.5423,14.90592,2.5,11.3,11.3,11.4,6291
22.275,585.5423,27.68242,15.38,15.9,15.7,15.8,10276
22.4275,585.5423,48.9766,46.2,24.5,24.1,24.3,17070
23.0375,585.5423,51.10602,47.1,25.4,25.1,25.1,17726
23.19,587.9225,51.10602,46.46,25.0,24.7,24.8,17495
23.19,587.9225,46.84718,43.14,23.3,23.1,23.1,16269
23.0375,587.9225,44.71776,40.8,21.9,21.8,22.2,15321
22.885,587.9225,36.20009,29.2,19.2,18.8,19.0,12956
22.58,585.5423,27.68242,8.44,15.5,15.3,15.3,9994
22.275,585.5423,21.29417,5.18,13.5,13.4,13.7,8286
21.97,585.5423,14.90592,0.66,11.1,10.7,11.2,6085
18.7675,4.760506,83.04727,71.9,38.8,38.5,38.5,26994
36.305,166.6177,144.8004,128.32,64.9,64.7,64.7,47275
33.4075,35.7038,108.6003,95.3399988,48.5,48.600001,48.8,35225
32.34,166.6177,100.0826,87.14,45.000001,44.8,44.9,32559
31.5775,23.80253,76.65903,67.46,35.0,34.9,34.8,25154
30.9675,252.3068,66.01194,58.74,30.7,30.5,30.9,21926
30.51,85.68912,66.01194,59.3,30.9,30.8,31.0,22113
30.20499,9.521012,70.27077,61.38,32.3,32.0,32.1,23009
30.0525,333.2354,61.7531,54.66,29.0,28.7,28.9,20614
29.7475,66.64709,55.36485,50.3,26.8,26.7,26.7,18924
29.595,104.7311,57.49427,51.04,27.0,27.0,27.2,19199
29.4425,138.0547,59.62368,54.04,28.5,28.3,28.5,20218
29.29,357.038,59.62368,53.9,28.4,28.4,28.5,20099
29.1375,218.9833,53.23543,48.98,26.3,26.3,26.4,18547
28.985,264.2081,44.71776,40.06,21.9,21.7,22.0,15161
28.68,88.06937,36.20009,27.72,18.6,18.4,18.6,12647
28.2225,180.8992,31.94126,21.5,17.3,17.3,17.6,11756
27.9175,230.8846,27.68242,9.06,14.9,14.7,15.1,9800
27.6125,140.4349,19.16476,2.5,12.7,12.6,12.8,7783
27.15499,545.078,14.90592,0.6,11.1,10.8,11.2,6017
18.92,21.42228,4.258835,0.6,7.9,7.9,8.1,2906
18.92,42.84456,10.64709,0.66,9.3,9.1,9.3,4177
19.3775,16.66177,17.03534,3.88,10.9,11.0,11.1,5728
19.225,16.66177,21.29417,5.8,13.3,13.3,13.5,7755
19.53,7.140759,29.81184,13.54,15.9,16.1,16.0,10177
19.6825,4.760506,38.32951,29.72,19.2,19.0,19.1,12585
